Description,AverageCost ,MinCost ,MaxCost ,Occurrences,Total,RowsBelow
Dental Fitting or Insertion Procedures,139.71931,128.0258019,151.4128181,105801,14422294.36,2
Dexa Scan,69.40681439,69.40681439,69.40681439,248803,17268623.64,1
Diabetes with Hyperglycaemic Disorders,1242.174605,584.7924795,2215.821322,48368,50958430.05,4
Diabetes with Hypoglycaemic Disorders,1122.804482,620.9703973,1939.788208,17380,21264719.26,4
Diabetes with Lower Limb Complications,2214.926862,1362.523319,3295.164355,11084,25871658.96,3
Diagnostic,519.9995966,171.7543247,1030.166973,225262,40930599.52,3
Diagnostic Bone Marrow Extraction,493.9041937,493.9041937,493.9041937,38796,19161507.1,1
Diagnostic Bronchoscopy,1232.994883,650.18791,1815.801857,32192,22230508.75,2
Diagnostic Colonoscopy,520.6561819,520.6561819,520.6561819,170286,88660458.59,1
Diagnostic Colonoscopy with Biopsy,605.9905299,605.9905299,605.9905299,158859,96267049.59,1
